DateTime,open,high,low,close,volume,Symbol
2025-01-31 19:55:00,414.2750,414.3000,414.0500,414.0500,5759,MSFT
2025-01-31 19:50:00,414.4000,414.5500,414.2500,414.2501,4163,MSFT
2025-01-31 19:45:00,414.5500,414.6000,414.3900,414.3906,2747,MSFT
2025-01-31 19:40:00,414.5999,414.6000,414.5000,414.5975,11514,MSFT
2025-01-31 19:35:00,414.6200,414.6200,414.5100,414.5500,1490,MSFT
2025-01-31 19:30:00,414.6200,414.6600,414.5100,414.6000,2719,MSFT
2025-01-31 19:25:00,414.5850,414.6600,414.5100,414.6200,1125,MSFT
2025-01-31 19:20:00,414.5800,414.6600,414.5100,414.5850,4449,MSFT
2025-01-31 19:15:00,414.5550,414.6000,414.5100,414.6000,1315,MSFT
2025-01-31 19:10:00,414.6000,414.6500,414.5000,414.5550,1312,MSFT
2025-01-31 19:05:00,414.5200,414.6000,414.5000,414.5900,1024,MSFT
2025-01-31 19:00:00,414.5600,414.6000,414.5000,414.5800,2291,MSFT
2025-01-31 18:55:00,414.5900,414.6600,414.5200,414.5800,1266,MSFT
2025-01-31 18:50:00,414.6000,414.6800,414.5200,414.5900,1537,MSFT
2025-01-31 18:45:00,414.5900,414.6600,414.5200,414.6400,1045,MSFT
2025-01-31 18:40:00,414.6800,414.6800,414.5100,414.5900,1635,MSFT
2025-01-31 18:35:00,414.5700,414.7200,414.5500,414.6790,1521,MSFT
2025-01-31 18:30:00,414.6800,414.6800,414.5500,414.5700,2058,MSFT
2025-01-31 18:25:00,414.6800,414.7000,414.5500,414.6500,1080,MSFT
2025-01-31 18:20:00,414.5800,414.7300,414.5100,414.7300,1272,MSFT
2025-01-31 18:15:00,414.5200,414.6000,414.5000,414.5550,2980,MSFT
2025-01-31 18:10:00,414.5400,414.6000,414.5000,414.5500,8990,MSFT
2025-01-31 18:05:00,414.6000,414.6800,414.5000,414.5250,1574,MSFT
2025-01-31 18:00:00,414.5700,414.6000,414.5200,414.5600,3015,MSFT
2025-01-31 17:55:00,414.5400,414.6000,414.5200,414.5600,2134,MSFT
2025-01-31 17:50:00,414.5700,414.6000,414.5400,414.5700,2684,MSFT
2025-01-31 17:45:00,414.5989,414.6000,414.5200,414.6000,7920,MSFT
2025-01-31 17:40:00,414.6780,414.9200,414.5600,414.6000,5027,MSFT
2025-01-31 17:35:00,414.8200,414.9000,414.6400,414.6400,4195,MSFT
2025-01-31 17:30:00,415.0000,415.0000,414.8100,414.8103,6072,MSFT
2025-01-31 17:25:00,414.9000,415.0000,414.9000,414.9500,4754,MSFT
2025-01-31 17:20:00,414.9600,414.9900,414.8600,414.9050,4043,MSFT
2025-01-31 17:15:00,414.9800,415.0600,414.9400,414.9600,3031,MSFT
2025-01-31 17:10:00,415.0000,415.0000,385.9986,414.9800,2656,MSFT
2025-01-31 17:05:00,414.9900,415.0000,387.9204,409.7972,4738,MSFT
2025-01-31 17:00:00,414.9800,434.6167,388.1203,414.9900,4739,MSFT
2025-01-31 16:55:00,415.0000,415.0000,387.9204,414.9750,3520,MSFT
2025-01-31 16:50:00,415.0500,415.1000,408.8500,415.0000,4054,MSFT
2025-01-31 16:45:00,415.0000,415.5000,414.9000,415.0000,6836,MSFT
2025-01-31 16:40:00,414.9000,415.1000,414.8800,414.9900,3713,MSFT
2025-01-31 16:35:00,414.8450,414.9900,414.8000,414.8800,9358,MSFT
2025-01-31 16:30:00,414.9700,414.9700,414.7501,414.8450,8557,MSFT
2025-01-31 16:25:00,414.9600,415.0600,414.9200,414.9500,14978,MSFT
2025-01-31 16:20:00,415.0600,415.0700,414.9200,414.9700,389303,MSFT
2025-01-31 16:15:00,415.1000,415.1000,414.9600,415.0100,337664,MSFT
2025-01-31 16:10:00,415.1983,416.5608,415.0000,415.0500,323111,MSFT
2025-01-31 16:05:00,415.0100,415.2000,414.9400,415.1800,133725,MSFT
2025-01-31 16:00:00,415.0200,433.7700,414.6127,414.9400,12266194,MSFT
2025-01-31 15:55:00,415.6200,415.8000,414.9100,415.0200,1588704,MSFT
2025-01-31 15:50:00,416.2700,417.2500,415.3700,415.6050,902658,MSFT
2025-01-31 15:45:00,415.9300,416.5000,415.8150,416.2300,255523,MSFT
2025-01-31 15:40:00,416.0900,416.2500,415.7600,415.8850,284903,MSFT
2025-01-31 15:35:00,416.2850,418.7500,415.9500,416.1200,218043,MSFT
2025-01-31 15:30:00,416.1600,416.5673,416.0100,416.3250,278560,MSFT
2025-01-31 15:25:00,416.4846,416.6300,415.9200,416.1400,176049,MSFT
2025-01-31 15:20:00,416.1500,416.5700,415.8700,416.4700,214944,MSFT
2025-01-31 15:15:00,415.8650,416.2500,415.7400,416.1500,183461,MSFT
2025-01-31 15:10:00,416.1300,416.3200,415.7900,415.8650,223352,MSFT
2025-01-31 15:05:00,415.8200,416.3300,415.6550,416.0800,207464,MSFT
